TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO
MEDICAMENTO;"&#193;GUA DEIONIZADA KOP";03/05/2012;BAIXO RISCO;;;;;08803423000151 - KOP DO BRASIL INDÚSTRIAS FARMACÊUTICAS LTDA - ME;Ativo;
MEDICAMENTO;BRONFILIL;23/12/2003;Similar;115600147;122013;25351018533200340;OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO;17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;Inativo;acebrofilina
MEDICAMENTO;CARDIOPRANOL;23/07/1999;Similar;100020076;072009;250000087239964;BETABLOQUEADORES SIMPLES;29322013000169 - LABORATORIO SEDABEL LTDA;Inativo;cloridrato de propranolol
MEDICAMENTO;CEPLUS;08/10/2018;Específico;177940037;102028;25351421710201777;MONOVITAMINAS EXCETO VITAMINA K;09545589000188 - MABRA FARMACEUTICA LTDA;Inativo;ácido ascórbico
MEDICAMENTO;CLORIDRATO DE TERAZOSINA;09/01/2002;Genérico;105530252;012007;2535102596901;ANTI-HIPERTENSIVOS SIMPLES;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;Inativo;cloridrato de terazosina
MEDICAMENTO;DIPROPIONATO DE BETAMETASONA+ÁCIDO SALICÍLICO;06/04/2009;Genérico;167730087;042019;25351002457200865;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;Inativo;dipropionato de betametasona, ácido salicílico
MEDICAMENTO;EFURIX;16/01/2023;Similar;109170135;052029;25351647197202218;OUTROS ANTINEOPLASICOS;17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;Ativo;fluoruracila
MEDICAMENTO;N?O DECLARADO;29/04/2014;DINAMIZADO;;;;;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;Ativo;
MEDICAMENTO;N?O DECLARADO;28/01/2016;DINAMIZADO;;012026;;;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;Ativo;
MEDICAMENTO;N?O DECLARADO;21/06/2012;DINAMIZADO;;;;;05512481000138 - LABORATORIO LAECCO COSMIATRIA BIOCELULAR LTDA - ME;Ativo;
MEDICAMENTO;ÓLEO DE RÍCINO LAPON;01/06/2021;BAIXO RISCO;;062031;;;35356799000138 - LAPON INDUSTRIA FARMACEUTICA LTDA - EPP;Inativo;
MEDICAMENTO;PRIMOLUT-NOR;13/12/2010;Novo;170560058;112028;25351089383200863;PROGESTAGENOS SIMPLES;18459628000115 - BAYER S.A.;Inativo;acetato de noretisterona
MEDICAMENTO;VACINA POLIOMIELITE 1, 2 E 3 (INATIVADA);25/05/1998;Novo;116090029;052013;250000095019200;VACINAS;24040487000102 - SANOFI PASTEUR LTDA;Inativo;poliovírus inativados tipo 1, poliovírus inativados tipo 2, poliovírus inativados tipo 3
MEDICAMENTO;- TNTURA DE IODO;10/02/2015;BAIXO RISCO;;022020;;;39032974000192 - VIC PHARMA INDUSTRIA E COMERCIO LTDA;Ativo;
MEDICAMENTO;ACIDO DEHIDROCOLICO+EXTRATO FITOTERAPICOS+FOSFATO SODIO;01/03/2002;Similar;103740008;022007;2500001429891;COLAGOGOS, COLERETICOS E HEPATOPROTETORES;61410965000147 - LABORATÓRIO ACLIMAÇÃO LTDA.;Inativo;extrato fluido
MEDICAMENTO;CETOPROFENO;24/03/2006;Genérico;135690382;032011;25351470466200532;ANTINFLAMATORIOS ANTIREUMATICOS;00923140000131 - EMS SIGMA PHARMA LTDA;Inativo;cetoprofeno
MEDICAMENTO;D-FENOTRINA;25/03/1998;Novo;121170102;032003;250000149049721;ESCABICIDAS E OUTROS ECTOPARASITICIDAS;71524631000158 - ASTA MÉDICA LTDA;Inativo;
MEDICAMENTO;FERINJECT;29/10/2012;Específico;106390262;102027;25351770404201123;ANTIANEMICOS SIMPLES;60397775000174 - TAKEDA PHARMA LTDA.;Inativo;carboximaltose ferrica
MEDICAMENTO;LICOR DE CACAU XAVIER;23/06/2008;;172870008;012015;25351136087200869;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;02932074000191 - HYPERA S.A.;Inativo;mebendazol
MEDICAMENTO;MIOCARDIL;05/12/2000;Similar;103920104;122025;250000184219921;VASODILATADORES CEREBRAIS;30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;Inativo;nimodipino
MEDICAMENTO;MISACARDIO;04/11/2013;Similar;105830769;112018;25351500541201122;ANTI-HIPERTENSIVOS;45992062000165 - GERMED FARMACEUTICA LTDA;Inativo;telmisartana
MEDICAMENTO;SIMETICONA;29/11/2018;BAIXO RISCO;;112023;;;17875154000391 - MEDQUIMICA INDÚSTRIA FARMACÊUTICA LTDA;Ativo;
MEDICAMENTO;BARBITRON;14/05/2001;Similar;107140105;062014;2500000055388;ANTICONVULSIVANTES;61068755000708 - SANVAL COMERCIO E INDUSTRIA LTDA;Inativo;fenobarbital
MEDICAMENTO;BELTAZIN;10/07/2017;Similar;155890015;072027;25351279694201711;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;04338716000154 - INDÚSTRIA FARMACÊUTICA MELCON DO BRASIL S.A.;Inativo;albendazol
MEDICAMENTO;CALCIGENOL;10/10/2001;Novo;113000249;082016;2599200480678;PRODUTOS A BASE DE CALCIO-ASSOCIACOES MEDICAMENTOSAS;02685377000157 - SANOFI-AVENTIS FARMACÊUTICA LTDA;Inativo;fosfato de cálcio tribásico, fluoreto de sódio
MEDICAMENTO;CERUMIN;20/09/1949;Novo;100230025;092009;2599201066149;REMOVEDORES DE SECRECAO DO CONDUTO AUDITIVO EXTERNO;60412327000100 - ALCON LABORATÓRIOS DO BRASIL LTDA.;Inativo;hidroxiquinolina, trolamina
MEDICAMENTO;FLUOXETINA CLORIDRATADA (PORT 344/98 L C-1);23/09/1999;Similar;124870022;092004;2502500185495;ANTIDEPRESSIVOS;93721512000128 - PAYAM NEDA;Inativo;
MEDICAMENTO;GASTROGEL DE BOLSO;04/06/2025;BAIXO RISCO;;062035;;;17875154000391 - MEDQUIMICA INDÚSTRIA FARMACÊUTICA LTDA;Inativo;
MEDICAMENTO;IBUPROFENO;30/10/2009;Genérico;109170083;112029;25351767596200824;ANALGESICOS NAO NARCOTICOS;17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;Ativo;ibuprofeno
MEDICAMENTO;N?O DECLARADO;23/07/2007;BAIXO RISCO;;;;;00376959000126 - IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA;Inativo;
MEDICAMENTO;RIBOMUSTIN;26/12/2016;Novo;112363413;122026;25351201600201258;ANTINEOPLASICOS CITOTOXICOS;51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA;Inativo;cloridrato de bendamustina
MEDICAMENTO;SULFAMETOXAZOL + TRIMETOPRIMA;26/09/2000;Genérico;103700315;092035;253510166430071;TRIMETOPRIMA EM ASSOCIACAO COM SULFAS;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;Ativo;sulfametoxazol, trimetoprima
MEDICAMENTO;TESTE;18/03/2014;BAIXO RISCO;;;;;33683202000134 - VISA ESTADUAL SP TESTE;Ativo;
MEDICAMENTO;ACETATO DE CIPROTERONA+ETINILESTRADIOL;03/05/2013;Genérico;155840400;052028;25351703022201132;ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;Ativo;acetato de ciproterona, etinilestradiol
MEDICAMENTO;BEYONTTRA;04/05/2026;Novo;176780003;052036;25351225339202443;OUTROS MEDICAMENTOS DE ACAO NO APARELHO CARDIOVASCULAR;29190430000103 - GLOBAL REGULATORY PARTNERS BRASIL LTDA;Ativo;cloridrato de acoramidis
MEDICAMENTO;TESTE;03/12/2010;BAIXO RISCO;;;;;11111111000191 - EMPRESA DE TESTE LTDA. (VS01);Ativo;
MEDICAMENTO;TINTURA DE BENJOIM RIOQUIMICA;06/05/2011;BAIXO RISCO;;;;;55643555000143 - RIOQUIMICA S.A.;Inativo;
MEDICAMENTO;TRIANCINOLONA DE ACETONIDA;11/04/2011;Genérico;100431043;042036;25351404054200857;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;61190096000192 - EUROFARMA LABORATORIOS S.A.;Ativo;triancinolona acetonida
MEDICAMENTO;TROFODERMIN;23/12/2004;;102160154;012020;25351271767200402;CERATOLITICOS E CERATOPLASTICOS;46070868003699 - LABORATÓRIOS PFIZER LTDA;Inativo;acetato de clostebol, sulfato de neomicina
MEDICAMENTO;AGUA OXIGENADA 10 V0LUMES AVANTE;07/04/2008;BAIXO RISCO;;;;;02686619000127 - PRODUTOS OFICINAIS AVANTE LTDA;Inativo;
MEDICAMENTO;AVERINE ADULTO;12/06/2002;Similar;141550006;062007;253510084440251;DESCONGESTIONANTES NASAIS TOPICOS;01920061000130 - EIC DO BRASIL INDÚSTRIA E COMÉRCIO DE ALIMENTOS LTDA.;Inativo;nafazolina, cloreto de benzâlconio, cloreto de sódio
MEDICAMENTO;DARUNAVIR;09/02/2026;Genérico;188300114;022036;25351613373202218;ANTIRETROVIRAL;11643096000122 - VIATRIS FARMACEUTICA DO BRASIL LTDA;Ativo;darunavir
MEDICAMENTO;DESAIRON;24/07/2017;Similar;102351222;072027;25351666306201492;AGENTE QUELANTE DE FERRO;57507378000365 - EMS S/A;Ativo;deferasirox
MEDICAMENTO;DESOGESTREL;19/08/2019;Genérico;105830957;082029;25351435345201435;ANTICONCEPCIONAIS;45992062000165 - GERMED FARMACEUTICA LTDA;Ativo;desogestrel
MEDICAMENTO;HIDRAPLEX;24/07/2015;BAIXO RISCO;;;;;02456955000183 - NATULAB LABORATORIO S.A;Ativo;
MEDICAMENTO;MEBENDAZOL;01/02/2000;Similar;111990020;072004;250000121259764;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;33223157000135 - MAKROFARMA QUIMICA FARMACEUTICA LTDA;Inativo;
MEDICAMENTO;METICORTEN;05/11/2012;;172870504;102014;25351279978201265;GLICOCORTICOIDES SISTEMICOS;02932074000191 - HYPERA S.A.;Inativo;prednisona
MEDICAMENTO;N?O DECLARADO;27/07/2009;DINAMIZADO;;;;;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;Ativo;
MEDICAMENTO;PARACETAMOL 200 MG/ML;02/02/2024;BAIXO RISCO;;022034;;;06628333000146 - FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA;Inativo;
MEDICAMENTO;TINTURA DE IODO 5%;20/06/2007;BAIXO RISCO;;;;;02195505000184 - LABORATÓRIO INDUSTRIAL E FARMACÊUTICO BUCAR LTDA;Inativo;
MEDICAMENTO;UROQUINASE;30/08/2002;Similar;116370053;092007;253510166450005;FIBRINOLITICOS E PROTEOLITICOS;58430828000160 - BLAU FARMACÊUTICA S.A.;Inativo;
MEDICAMENTO;CISTITEMED;13/08/2007;Dinamizado;102660157;082027;25351372040200603;MEDICAMENTOS DINAMIZADOS COMPOSTOS;60862208000141 - FARMÁCIA E LABORATÓRIO HOMEOPÁTICO ALMEIDA PRADO LTDA;Inativo;cantharis vesicatoria, thuya occidentalis
MEDICAMENTO;CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO + DEXAMETASONA;02/05/2017;Genérico;102351210;052027;25351045196201769;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;57507378000365 - EMS S/A;Ativo;cloridrato de ciprofloxacino monoidratado, dexametasona
MEDICAMENTO;DIAZINIL;02/09/1998;Similar;101910023;092003;2599100605780;ANOREXICOS-ASSOCIACOES MEDICAMENTOSAS;61517397000188 - THERASKIN FARMACEUTICA LTDA.;Inativo;
MEDICAMENTO;LEFLUNOMIDA;28/01/2019;Genérico;105730633;022027;25351856335201863;ANTINFLAMATORIOS ANTIREUMATICOS;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;Inativo;leflunomida
MEDICAMENTO;N?O DECLARADO;05/11/2013;DINAMIZADO;;;;;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;Ativo;
MEDICAMENTO;N?O DECLARADO;28/07/2009;DINAMIZADO;;;;;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;Inativo;
MEDICAMENTO;PARACETAMOL;02/06/2026;BAIXO RISCO;;062036;;;17159229000176 - LABORATORIO TEUTO BRASILEIRO S/A;Inativo;
MEDICAMENTO;PEDIALYTE MAX;24/10/2011;Específico;105530341;102026;25351139231201063;REIDRATANTES ORAIS;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;Ativo;cloreto de sódio, gliconato de zinco, glicose monoidratada, citrato de sódio di-hidratado, cloreto de potássio
MEDICAMENTO;PROCTGLOBO;16/10/2023;BAIXO RISCO;;102033;;;17115437000173 - LABORATORIO GLOBO SA;Inativo;
MEDICAMENTO;ROYVIT;22/07/2003;Similar;104080091;072008;25351213516200233;POLIVITAMINICOS COM MINERAIS;46385514000103 - ROYTON QUÍMICA FARMACÊUTICA LTDA;Inativo;ácido fólico, cianocobalamina, cloridrato de piridoxina, mononitrato de tiamina, nicotinamida, óxido cúprico, pantotenato de cálcio, riboflavina, sulfato de zinco, acetato de tocoferol, ácido ascórbico
MEDICAMENTO;TERIFLUNOMIDA;23/12/2019;Genérico;155370081;122029;25351731154201825;IMUNOMODULADOR;64171697000146 - ACCORD FARMACÊUTICA LTDA;Ativo;teriflunomida
MEDICAMENTO;ZOLPRAMEX;17/01/2000;Similar;104450091;012005;250000086059938;ANTIULCEROSOS;46741922000150 - LABORATORIO SINTERAPICO INDUSTRIAL FTCO LTDA;Inativo;omeprazol
MEDICAMENTO;CALAMINA + ASSOCIAÇÕES;31/10/2001;Similar;108580232;102011;250000234289839;ANTIALERGICOS TOPICOS;51603488000182 - PRODOTTI LABORATÓRIO FARMACÊUTICO LTDA.;Inativo;calamina, cloridrato de difenidramina, cânfora
MEDICAMENTO;CEFUROXIMA SÓDICA;23/11/2015;Genérico;100630236;112035;25351013827201519;ANTIBIOTICOS SISTEMICOS SIMPLES;33258401000103 - INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA;Ativo;cefuroxima sódica
MEDICAMENTO;GLINK;10/05/2021;Similar;100330213;052031;25351237710201952;ANTIDIABETICOS;61230314000175 - LIBBS FARMACÊUTICA LTDA;Ativo;linagliptina
MEDICAMENTO;KOLLANGEL;21/01/2008;BAIXO RISCO;;;;;02456955000183 - NATULAB LABORATORIO S.A;Ativo;
MEDICAMENTO;LEVORDIOL;23/06/1991;Similar;101910132;;2599200923271;ANTICONCEPCIONAIS;61517397000188 - THERASKIN FARMACEUTICA LTDA.;Inativo;levonorgestrel
MEDICAMENTO;LINCOFLAN;27/10/2014;Similar;105750108;112018;25351577320201476;ANTIBIOTICOS SISTEMICOS SIMPLES;61186136000122 - VALEANT FARMACÊUTICA DO BRASIL LTDA;Inativo;cloridrato de lincomicina
MEDICAMENTO;MARESIS;25/05/2017;BAIXO RISCO;;052022;;;33349473000310 - FARMOQUIMICA S/A;Ativo;
MEDICAMENTO;MULTIMEDINE;09/08/1999;Similar;118190012;082004;250000191059977;ANTISSEPTICO;92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;Inativo;hexamidina
MEDICAMENTO;NIMESULIDA;06/06/2022;Genérico;177940051;062032;25351222835202283;AGENTES ANTI-INFLAMATÓRIOS;09545589000188 - MABRA FARMACEUTICA LTDA;Inativo;nimesulida
MEDICAMENTO;N?O DECLARADO;03/12/2013;DINAMIZADO;;;;;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;Ativo;
MEDICAMENTO;POMADA PARA ASSADURA GERIADERM;06/08/2014;BAIXO RISCO;;;;;60879848000164 - LABORATORIO TAYUYNA LTDA;Ativo;
MEDICAMENTO;PRAVASTATINA SÓDICA;11/05/2015;Genérico;183260106;062029;25351693308201419;ANTILIPEMICOS;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;Ativo;pravastatina sódica
MEDICAMENTO;RINGER COM LACTÁTO DE SÓDIO;11/01/2016;Específico;107250305;012026;25351702699201400;OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL;88610555000104 - INDUSTRIA FARMACEUTICA BASA LTDA;Inativo;cloreto de sódio, cloreto de potássio, cloreto de cálcio diidratado, lactato de sódio
MEDICAMENTO;ACETILCISTEINA;06/06/2011;Genérico;116370073;062026;25351607313200719;EXPECTORANTES BALSAMICOS E MUCOLITICO;58430828000160 - BLAU FARMACÊUTICA S.A.;Ativo;acetilcisteína
MEDICAMENTO;ALURAX;25/05/2015;Similar;194270008;052025;25351146522201445;PROGESTAGENOS SIMPLES;14806008000154 - MOMENTA FARMACÊUTICA LTDA.;Inativo;dienogeste
MEDICAMENTO;CLORIDRATO DE OXITETRACICLINA+HIDROCORTISONA+SULFATO DE POLIMIXINA B;11/04/2001;Similar;102160020;122004;2599100449380;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;46070868003699 - LABORATÓRIOS PFIZER LTDA;Inativo;
MEDICAMENTO;FUNGONAZOL 20 MG/ML XAMPU;10/04/2024;BAIXO RISCO;;042034;;;17875154000391 - MEDQUIMICA INDÚSTRIA FARMACÊUTICA LTDA;Inativo;
MEDICAMENTO;KALOCAR;16/04/2008;BAIXO RISCO;;;;;56930811000146 - LABORATÓRIO FARMACÊUTICO CARESSE LTDA ME;Inativo;
MEDICAMENTO;N?O DECLARADO;27/01/2016;DINAMIZADO;;012026;;;60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA;Ativo;
MEDICAMENTO;SAL DE SONRISAL;06/04/2026;Específico;192900015;042036;25351043049202564;;30872270000153 - PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE ME;Ativo;sulfato de magnésio, ácido cítrico anidro, bicarbonato de sódio
MEDICAMENTO;TESTE;03/05/2023;BAIXO RISCO;;052033;;;11111111000191 - EMPRESA DE TESTE LTDA. (VS01);Inativo;
MEDICAMENTO;AD-MUC;07/01/2003;Fitoterápico;109740172;012028;25351217831200230;;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;Ativo;matricaria recutita l.
MEDICAMENTO;BUTILBROMETO DE ESCOPOLAMINA;20/08/2004;Genérico;102350703;082014;25351100377200441;ANTIESPASMODICOS E ANTICOLINERGICOS GASTRINTESTINAIS;57507378000365 - EMS S/A;Inativo;butilbrometo de escopolamina
MEDICAMENTO;FINALOP;20/05/2013;Similar;100330174;052028;25351416028201215;INIBIDOR DA ALFA-REDUTASE;61230314000175 - LIBBS FARMACÊUTICA LTDA;Ativo;finasterida
MEDICAMENTO;VITAMIN C 1000 MG PLUS SUNDOWN;23/06/2000;Similar;137950002;062005;250000114709989;MONOVITAMINAS EXCETO VITAMINA K;69970143000122 - DIVINA DISTRIBUIDORA DE VITAMINAS NATURAIS SUNDOWN REXALL DO BR;Inativo;ácido ascórbico, pó de rose hips, hesperidina, bioflavonóides, rutina, acerola
MEDICAMENTO;ALCOOL 70;31/05/2012;BAIXO RISCO;;;;;02686619000127 - PRODUTOS OFICINAIS AVANTE LTDA;Ativo;
